,"x",,
"603",0,4.95373E-05,-4.95373E-05
"604",0,4.710707E-05,-4.710707E-05
"605",0,4.553801E-05,-4.553801E-05
"606",0,4.47277E-05,-4.47277E-05
"607",0,4.337557E-05,-4.337557E-05
"608",0,4.013279E-05,-4.013279E-05
"609",0,3.717282E-05,-3.717282E-05
"610",0,3.407286E-05,-3.407286E-05
"611",0,3.040263E-05,-3.040263E-05
"612",0,2.709984E-05,-2.709984E-05
"613",0,2.284358E-05,-2.284358E-05
"614",0,1.744794E-05,-1.744794E-05
"615",0,1.073375E-05,-1.073375E-05
"616",0,5.926236E-06,-5.926236E-06
"617",0,2.019868E-06,-2.019868E-06
"618",0,2.35571E-11,-2.35571E-11
"619",0,-6.044974E-13,6.044974E-13
"620",0,-5.63709E-20,5.63709E-20
"621",0,-3.722926E-22,3.722926E-22
"622",0,-3.687555E-22,3.687555E-22
"623",0,-3.652521E-22,3.652521E-22
"624",0,-3.617819E-22,3.617819E-22
"625",0,-3.583447E-22,3.583447E-22
"626",0,-3.549402E-22,3.549402E-22
"627",0,-3.51568E-22,3.51568E-22
"628",0,-3.482278E-22,3.482278E-22
"629",0,-3.449194E-22,3.449194E-22
"630",0,-3.416424E-22,3.416424E-22
"631",0,-3.383966E-22,3.383966E-22
"632",0,-3.351816E-22,3.351816E-22
"633",0,-3.319971E-22,3.319971E-22
"634",0,-3.288429E-22,3.288429E-22
"635",0,-3.257186E-22,3.257186E-22
"636",0,-3.226241E-22,3.226241E-22
"637",0,-3.195589E-22,3.195589E-22
"638",0,-3.165229E-22,3.165229E-22
"639",0,-2.142536E-11,2.142536E-11
"640",0,-4.050401E-14,4.050401E-14
"641",0,3.611459E-06,-3.611459E-06
"642",0,2.140655E-05,-2.140655E-05
"643",0,4.251855E-05,-4.251855E-05
"644",0,6.150094E-05,-6.150094E-05
"645",0,7.730691E-05,-7.730691E-05
"646",0,8.671587E-05,-8.671587E-05
"647",0,8.837691E-05,-8.837691E-05
"648",0,8.861177E-05,-8.861177E-05
