,"x",72.57231,
"440",97134796718.132,97132360000,2436718.13200378
"441",81924484669.9773,81927220000,-2735330.02270508
"442",68666005397.964,68676560000,-10554602.0360031
"443",57658027802.4721,57669820000,-11792197.5278931
"444",48865703787.6579,48875130000,-9426212.34210205
"445",42003068752.8736,42013800000,-10731247.1264038
"446",36752334268.9635,36763580000,-11245731.036499
"447",33183283477.215,33184880000,-1596522.78499985
"448",32067366008.1451,32071460000,-4093991.85490036
"449",33019736883.7851,33026980000,-7243116.21490097
"450",35559099828.5418,35568910000,-9810171.45819855
"451",39241821387.755,39254090000,-12268612.2450027
"452",43580902325.1315,43593670000,-12767674.8684998
"453",48273545326.2088,48287130000,-13584673.7911911
"454",53149474290.3915,53164030000,-14555709.6084976
"455",58110225241.3347,58124110000,-13884758.6652985
"456",65657933839.9515,65670880000,-12946160.0485001
"457",78452159965.9579,78459310000,-7150034.042099
"458",96207840687.1908,96204260000,3580687.1907959
"459",117297903423.322,117290700000,7203423.32202148
"460",137469443737.625,137452800000,16643737.625
"461",148723809285.44,148703500000,20309285.4400024
"462",148358981602.76,148339500000,19481602.7600098
"463",140860055245.834,140841800000,18255245.8340149
"464",118267142764.668,118246800000,20342764.6679993
"465",98414008117.7849,98395400000,18608117.7848969
"466",81893490080.4116,81877860000,15630080.4116211
"467",68146192647.1841,68134510000,11682647.1840973
"468",56706651332.8152,56697540000,9111332.81520081
"469",47187450084.7948,47178310000,9140084.7947998
"470",39266221252.0155,39259180000,7041252.01550293
"471",32674710154.6229,32671040000,3670154.62290192
"472",27189666359.1162,27187310000,2356359.11619949
"473",22625400199.695,22624030000,1370199.69499969
"474",18827331395.5383,18825480000,1851395.53829956
"475",15666834030.8194,15664680000,2154030.81940079
"476",13036890344.5212,13035060000,1830344.52120018
"477",10848427386.9171,10846930000,1497386.91710091
"478",19375387174.3384,19373360000,2027174.33840179
"479",31252373957.3625,31249210000,3163957.36249924
"480",41823637234.5406,41819540000,4097234.54060364
"481",51838482198.3036,51832670000,5812198.3035965
"482",64056080655.3383,64045440000,10640655.3383102
"483",80303856612.3737,80293060000,10796612.373703
"484",99712443510.4648,99701470000,10973510.464798
"485",120000610748.876,119991900000,8710748.87600708
"486",133631348295.126,133606100000,25248295.1260071
"487",136728735299.164,136705700000,23035299.1640015
"488",130463588840.032,130436200000,27388840.0319977
"489",118225897990.083,118198900000,26997990.0829926
"490",103372123481.022,103348400000,23723481.0220032
"491",88392339795.2465,88374130000,18209795.2465057
"492",74623920569.3469,74605700000,18220569.3468933
"493",62652335643.0751,62634120000,18215643.0751038
"494",52635998605.1979,52624280000,11718605.1978989
"495",45435927257.7788,45427950000,7977257.77880096
"496",41423670205.5241,41417550000,6120205.52410126
"497",39891130377.1508,39886010000,5120377.15080261
"498",40196529546.1581,40191510000,5019546.15809631
"499",41264158383.767,41273670000,-9511616.23299408
"500",41282229319.9858,41288260000,-6030680.0141983
"501",40272805758.8576,40275380000,-2574241.14240265
"502",38496843278.9526,38495590000,1253278.95259857
"503",36458733846.2989,36428950000,29783846.2988968
"504",37025914202.1577,36999370000,26544202.1576996
"505",41310767731.5016,41289700000,21067731.5016022
"506",49502371549.483,49488060000,14311549.4830017
"507",61771061800.9654,61764370000,6691800.9654007
"508",75914852515.686,75910120000,4732515.68600464
"509",89723980534.5752,89720900000,3080534.57519531
"510",103342826435.888,103340700000,2126435.88800049
"511",116951885240.008,116949000000,2885240.00801086
"512",131146663937.72,131129800000,16863937.7200165
"513",146893735683.982,146869400000,24335683.9819946
"514",162500032144.418,162466000000,34032144.4179993
"515",173766760505.201,173736100000,30660505.2009888
"516",177502416746.793,177489700000,12716746.7929993
"517",172379658687.113,172366400000,13258687.1130066
"518",161356477059.412,161343100000,13377059.4120178
"519",140514680554.576,140443700000,70980554.5759888
"520",116926939680.584,116864200000,62739680.5839996
"521",97298763377.876,97244000000,54763377.8760071
"522",80965387050.4876,80926340000,39047050.4875946
"523",67373915929.8166,67342690000,31225929.816597
"524",56063999693.3479,56037160000,26839693.3479004
"525",46652653697.757,46625750000,26903697.7570038
"526",38821167294.6324,38799220000,21947294.6324005
"527",32304359769.9136,32288890000,15469769.9136009
"528",26881516912.1358,26869190000,12326912.1357994
"529",22369052338.9333,22359340000,9712338.93330002
