,"E","QL","EL_s","EL_i","QN_s","QN_i","EN_s","EN_i","QA_s","QA_i","EA","H_s","H_i","cases"
"272",2102356172.57958,1455823556.19815,227067678.958107,25862045406.5266,27761279.692678,12228796656.7249,4.05115836738864E-06,853465238.221126,4.62544986810405E-13,84.1595783013349,55914339.6047169,0.30327337716792,5.24171134362559E-08,0
"273",1749437950.72606,1387968251.60461,224803043.51508,25604113036.2062,27106589.3661197,11940406677.3999,4.03764541103191E-06,850618438.004946,4.58150469944754E-13,83.3600005374473,55754438.613502,0.316543955384452,-8.26946494828644E-08,0
"274",1455762102.70249,1323275652.34879,222560994.173691,25348753127.0517,26467338.5082124,11658817757.85,4.02417752820057E-06,847781133.514083,4.53797704214641E-13,82.5680193491592,55594994.8990281,0.329561768403022,2.92431017141225E-10,0
"275",2399666528.78699,1261598367.53105,220341305.819011,25095940039.4274,25843163.1101365,11383869552.8069,4.01075456884158E-06,844953293.136583,4.49486293222185E-13,81.7835626122893,54165328.0484908,0.34233162904538,-3.74685088942364E-10,0
"276",4810188395.10636,1119224130.52126,295038662.918381,24852416940.4768,25230635.9706133,11114052385.9156,3.99737638279149E-06,843487637.335293,3.68981425155565E-13,67.135785767032,50874591.3867933,3.67949426967408E-10,0.336044293419449,1249620977.58545
"277",8485759502.63095,822947699.922545,290367116.114715,24705748161.2862,26227103.5543969,10941358523.0668,3.98301089390713E-06,897771169.439974,7.23562418948598E-10,162677.997243883,45716146.3886376,3.73756988272734E-10,0.039143621261141,56451321617.5859
"278",13710725915.2919,625611085.456102,281189666.769213,24105637184.1824,31703281.0703998,11159872942.3427,3.91464590224242E-06,939370096.597291,1.00648110222629E-08,2398537.89873155,48430739.2028803,3.66438689098887E-10,0.011081398140053,90508464256.0483
"279",21533536583.7596,718146343.931673,268678188.037146,23194591131.8022,40414651.9843439,11667605125.283,3.78258427947818E-06,966143346.064396,1.74905289697631E-08,4434577.93387562,63024636.0745038,3.50492596246165E-10,0.008429081262827,147213399420.786
"280",33575090621.6914,1329645879.94442,253199861.706072,22102078644.5571,51938169.629629,12433585621.9664,3.59584103232426E-06,979741130.024067,2.394274063999E-08,6472340.39180988,84959914.7069821,3.28900234684056E-10,0.00817834362545,213143966531.213
"281",49976317655.7332,2793633798.55354,235154973.12038,21020870206.1679,65825805.5388338,13433825133.3016,3.36370828698564E-06,981833451.118011,2.91802254899503E-08,8444700.73700645,109445776.44739,3.04411073307702E-10,0.008154670800634,289804854207.884
"282",68825439901.6844,5450988191.38029,215160969.79839,20231923919.6054,81422674.9646042,14647851311.641,3.09831889896278E-06,974860941.472715,3.24523132869789E-08,10113916.7338617,132189406.980865,2.79181507756832E-10,0.008152410254458,374978477439.297
"283",86987182479.1412,9156100696.23712,194821996.505456,20105181114.6598,97109226.0207715,15997022643.9983,2.82466657011661E-06,965410897.003934,3.27096796590529E-08,11061830.0052464,149671203.99904,2.55635645894473E-10,0.008152196250381,442148689156.82
"284",102696797498.059,13708372030.9255,174814315.777401,20835626654.2376,112218340.029598,17516198357.876,2.55316643371492E-06,956103693.541746,3.23413905190878E-08,11970090.503345,161606938.95128,2.33464428492541E-10,0.008152175985648,502759721528.46
